code,name,latitude,longitude,,
7001,Ste-Catherine / Ste-Élisabeth,45.51228321,-73.5618259,,
6209,Milton / Clark,45.51254135,-73.57067719,,
6218,Prince-Arthur / St-Urbain,45.51260056,-73.57374027,,
6008,Sanguinet / Ste-Catherine,45.512734,-73.5611406,,
6207,Ste-Famille / des Pins,45.51281295,-73.57701659,,
6411,Clark / Prince-Arthur,45.51330257,-73.57296109,,
6501,Metro Jean-Drapeau,45.513409,-73.53355408,,
6013,Sanguinet / de Maisonneuve,45.51354221,-73.56287062,,
6109,Quai de la navette fluviale,45.51374144,-73.53838205,,
7007,Gare Canora,45.51378024,-73.63246322,,
6901,Ste-Catherine / St-Denis,45.51383354,-73.5604459,,
6011,St-Andre / St-Antoine,45.51411453,-73.5526447,,
6305,Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871,,
6014,St-Denis / de Maisonneuve,45.51439551,-73.56176555,,
7038,Clark / Guilbault,45.51440303,-73.57508205,,
6021,de l'Hôtel-de-Ville / Sherbrooke,45.51456467,-73.5684067,,
6020,Sanguinet / Ontario,45.514784,-73.565338,,
6215,St-Cuthbert / St-Urbain,45.514887,-73.57827589,,
6303,Dunlop / Van Horne,45.514905,-73.619682,,
6216,Parc Jeanne Mance (monument à sir George-Étienne Cartier),45.51496,-73.58503,,
6009,Ste-Catherine / Labelle,45.51505176,-73.55922148,,
6212,Duluth / de l'Esplanade,45.51517456,-73.58109489,,
6015,Berri / de Maisonneuve,45.515299,-73.561273,,
6211,Roy / St-Laurent,45.51561624,-73.57580826,,
6304,Rockland / Lajoie,45.515617,-73.614991,,
6302,Stuart / de la Côte-Ste-Catherine,45.51563409,-73.60671133,,
6729,St-Andre / Ste-Catherine,45.51642655,-73.55811238,,
6903,Napoleon /  St-Dominique,45.51674015,-73.57770324,,
6104,Wolfe / Rene-Levesque,45.5168175,-73.55418831,,
6213,Duluth / St-Laurent,45.51687641,-73.57946008,,
6223,du Mont-Royal / du Parc,45.517,-73.589,,
6219,de l'Hôtel-de-Ville / Roy,45.5173331,-73.57443631,,
6214,Square St-Louis,45.51735,-73.56906,,
6181,Clark / Rachel,45.5173538,-73.58212888,,
6222,Jeanne Mance / du Mont-Royal,45.5176432,-73.5889283,,
6019,Berri / Sherbrooke,45.51792135,-73.56716752,,
7074,St-Andre / Robin,45.51812809,-73.56185138,,
7036,Hutchison / Edouard Charles,45.5182634,-73.59577462,,
6224,Villeneuve / du Parc,45.51829,-73.59235,,
6301,Parc Outremont (Bloomfield / Elmwood),45.51830945,-73.60328615,,
7021,McEachran / Van Horne,45.5183413,-73.61664688,,
6248,St-Dominique / Rachel,45.518593,-73.581566,,
6018,St-Andre / Ontario,45.51889,-73.56353,,
6217,Vallières / St-Laurent,45.51897703,-73.58363156,,
6174,Roy / St-Denis,45.51908,-73.5727,,
6173,Berri / Cherrier,45.51908844,-73.56950909,,
6112,Montcalm / de Maisonneuve,45.519157,-73.55786,,
6220,Laval / Duluth,45.51921624,-73.57718021,,
6105,Plessis / Rene-Levesque,45.51937252,-73.55195805,,
6221,du Mont-Royal / Clark,45.51941,-73.58685,,
6241,Hutchison / Fairmount,45.51950519,-73.59852925,,
6171,Wolfe / Robin,45.51958083,-73.56011599,,
6307,Laval / Rachel,45.52017845,-73.57942387,,
6225,Villeneuve / St-Urbain,45.520188,-73.590559,,
6246,Metro Outremont (Wiseman / Van Horne),45.52027054,-73.61484915,,
6175,St-Andre / Cherrier,45.52054116,-73.5677509,,
6179,Duluth / St-Denis,45.52060423,-73.57598394,,
6243,Bloomfield / Bernard,45.52068774,-73.6084279,,
6117,Robin / de la Visitation,45.52088977,-73.55922148,,
6017,du Square Ahmerst / Wolfe,45.52106924,-73.5637571,,
6227,de l'Esplanade / Laurier,45.52111622,-73.59478354,,
6106,Papineau / Rene-Levesque,45.52114,-73.54926,,
6229,Coloniale / du Mont-Royal,45.52116132,-73.58561575,,
6196,Villeneuve / St-Laurent,45.52134173,-73.58941913,,
6182,de Bullion / du Mont-Royal,45.52148456,-73.58498007,,
6044,Roy / St-Christophe,45.52149208,-73.570472,,
6193,de l'Esplanade / Fairmount,45.521495,-73.596758,,
6504,La Ronde,45.52156537,-73.53533238,,
6902,Beaudry / Ontario,45.52162979,-73.56234759,,
6113,Alexandre-DeSève / de Maisonneuve,45.5219,-73.55534,,
6230,Waverly / Fairmount,45.52210956,-73.59620042,,
6178,Rivard / Rachel,45.5222776,-73.5775906,,
7022,Durocher / Bernard,45.5223176,-73.60693127,,
7034,Clark / Laurier,45.52258374,-73.59358858,,
6245,Bloomfield / Van Horne,45.5225858,-73.61265779,,
6231,Jeanne-Mance / St-Viateur,45.52282094,-73.60129595,,
6183,Henri-Julien / du Mont-Royal,45.52284724,-73.58361225,,
7031,Berri / Rachel,45.52287802,-73.57749537,,
6146,du Parc-La Fontaine / Roy,45.52290738,-73.56836379,,
7072,Beaudry / Sherbrooke,45.5230346,-73.56540598,,
6176,St-Andre / Duluth,45.523171,-73.573431,,
7073,Logan / de Champlain,45.52319433,-73.55584256,,
6123,Alexandre-de-Sève / la Fontaine,45.52327641,-73.55821833,,
6177,St-Hubert / Rachel,45.52340138,-73.57645601,,
6114,Metro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,
6201,Villeneuve / de l'Hôtel-de-Ville,45.5235442,-73.58733237,,
6746,Metro Acadie (de l'Acadie / Beaumont),45.52357479,-73.62344295,,
6116,Plessis / Ontario,45.523584,-73.560941,,
5007,Metro Longueuil - Universite de Sherbrooke,45.523854,-73.519677,,
6195,de Bullion / St-Joseph,45.52403655,-73.59014332,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,
6280,Fairmount / St-Dominique,45.52450499,-73.5941425,,
6145,du Parc-La Fontaine / Duluth,45.52456565,-73.57207865,,
6926,Marie-Anne / St-Hubert,45.524634,-73.578755,,
6184,Metro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,,
6147,Calixa-Lavallee / Sherbrooke,45.52479,-73.56545,,
6232,Hutchison / Van Horne,45.52502123,-73.61073732,,
6118,de Champlain / Ontario,45.52504754,-73.56003553,,
6199,Clark / St-Viateur,45.52516404,-73.59930575,,
6200,St-Dominique / Maguire,45.5251775,-73.59544605,,
6187,Resther / du Mont-Royal,45.52562819,-73.58177483,,
6094,de Gaspe / Fairmount,45.525669,-73.593016,,
6188,Mentana / Marie-Anne,45.52602657,-73.57785881,,
7077,Fullum / Jean Langlois,45.52612804,-73.54600221,,
6111,Parthenais / Ste-Catherine,45.52620038,-73.54926646,,
6752,Hutchison / Beaubien,45.5262464,-73.61374676,,
7032,Drolet / Laurier,45.52625188,-73.58975839,,
6235,St-Dominique / St-Viateur,45.52654332,-73.59823287,,
7024,Berri / Gilford,45.52656587,-73.585428,,
6728,Champagneur / Jean-Talon,45.52679805,-73.62421274,,
6334,d'Outremont / Ogilvy,45.52684538,-73.6266683,,
6143,Rachel / de Brebeuf,45.52689,-73.57264,,
6119,Dorion / Ontario,45.52697,-73.558021,,
6234,Bernard / Clark,45.52697,-73.60261,,
6190,Pontiac / Gilford,45.52700933,-73.58576596,,
7026,Maguire / Henri-Julien,45.5270411,-73.59347057,,
6148,Émile-Duploye / Sherbrooke,45.52729,-73.56463,,
6228,Waverly / Van Horne,45.527363,-73.607723,,
6169,Boyer / du Mont-Royal,45.52743213,-73.57991673,,
6136,Metro Laurier (Rivard / Laurier),45.52761627,-73.5891147,,
6281,Resther / St-Joseph,45.5277271,-73.58628362,,
7028,de Gaspe / St-Viateur,45.52774828,-73.59743893,,
6156,Marie-Anne / de la Roche,45.52775814,-73.57618511,,
6142,Calixa-Lavallee / Rachel,45.52779479,-73.57193917,,
6089,Henri-Julien / Carmel,45.52783941,-73.5948211,,
7025,St-Dominique / Bernard,45.52793332,-73.60122251,,
6108,Logan / Fullum,45.52844869,-73.551085,,
6157,de la Roche / du Mont-Royal,45.52875779,-73.57867956,,
6110,Poupart / Ste-Catherine,45.52903307,-73.54634821,,
6132,Larivière / de Lorimier,45.52913454,-73.55923355,,
6314,de Lanaudière / Marie-Anne,45.529219,-73.574777,,
7040,St-Urbain / Beaubien,45.52951034,-73.61067966,,
5003,Place Longueuil,45.52951222,-73.51769149,,
6186,St-Andre / Laurier,45.52955901,-73.58760189,,
6051,de Gaspe / Marmier,45.529686,-73.601728,,
6137,Gauthier / Papineau,45.5296926,-73.56740087,,
6198,Helène-Baillargeon / St-Denis,45.52974,-73.59527,,
6140,Marquette / Rachel,45.52980158,-73.57028961,,
6192,Berri / St-Gregoire,45.529802,-73.591766,,
6129,de Bordeaux / Sherbrooke,45.52997069,-73.56305301,,
6271,Casgrain / de Bellechasse,45.529993,-73.604214,,
6170,de Mentana / Laurier,45.530046,-73.58677,,
6503,Metro Parc  (Ogilvy / Hutchison),45.5303513,-73.62439245,,
6747,Waverly / St-Zotique,45.53050526,-73.61470833,,
6122,Logan / d'Iberville,45.53057,-73.54913,,
6158,Gilford / de Brebeuf,45.53081623,-73.58162597,,
6168,Marmier / St-Denis,45.53087132,-73.59834552,,
6155,Garnier / du Mont-Royal,45.53092,-73.57674,,
6274,de la Roche / St-Joseph,45.531164,-73.583695,,
6338,Ball / Querbes,45.53120329,-73.63214672,,
6906,Metro Rosemont (Rosemont / de St-Vallier),45.5313272,-73.5978882,,
6191,St-Zotique / Clark,45.531401,-73.612674,,
6929,St-Andre / St-Gregoire,45.53141185,-73.59174863,,
6138,Gauthier / De Lorimier,45.531818,-73.565317,,
6711,Alexandra / Waverly,45.531938,-73.617842,,
6124,Poupart / Ontario,45.53193889,-73.55343863,,
6237,de Lanaudière / Gilford,45.53198493,-73.58067513,,
6126,Rouen / Fullum,45.53217,-73.55859,,
6024,Messier / Hochelaga,45.53222706,-73.56061806,,
6141,de Bordeaux / Rachel,45.53227,-73.56828,,
6247,St-Dominique / St-Zotique,45.53228146,-73.61099146,,
6154,Marquette / du Mont-Royal,45.53229,-73.57544,,
7042,Alexandra / Jean Talon,45.53233065,-73.62018675,,
6139,des Érables / Gauthier,45.53240768,-73.5647763,,
6915,Alma / Beaubien,45.53243586,-73.606655,,
6165,de Brebeuf / Laurier,45.53248,-73.58507,,
6153,Cartier / Marie-Anne,45.532674,-73.571776,,
6164,Chambord / Laurier,45.53292954,-73.5841506,,
6160,Garnier / St-Joseph,45.53297746,-73.5812223,,
6252,Mozart / St-Laurent,45.53318,-73.61544,,
6913,Drolet / Beaubien,45.533348,-73.605834,,
6908,de Bellechasse / de St-Vallier,45.53334868,-73.60113569,,
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,
6750,des Érables / Rachel,45.53349556,-73.56693149,,
6120,Ontario / du Havre,45.5336609,-73.5521968,,
5002,St-Charles / Montarville,45.53370329,-73.51528287,,
6131,Fullum / Sherbrooke ,45.533924,-73.562425,,
6166,de Brebeuf / St-Gregoire,45.5341,-73.58852,,
6907,Boyer / Rosemont,45.534136,-73.595478,,
6152,Chabot / du Mont-Royal,45.53418509,-73.57358873,,
6251,de Gaspe / Dante,45.53435795,-73.61223131,,
7078,Hochelaga / Chapleau,45.53445295,-73.55965197,,
6269,Bercy / Ontario,45.5345571,-73.55074972,,
7045,Casgrain / Mozart,45.53472726,-73.61479282,,
6311,Drolet / St-Zotique,45.53488214,-73.60941231,,
6121,Gascon / de Rouen,45.5351339,-73.55486423,,
6344,St-Dominique / Jean-Talon,45.535189,-73.617459,,
6128,Hogan / Ontario,45.53529548,-73.5511601,,
6163,Marquette / Laurier,45.53543,-73.5822,,
6912,de Chateaubriand / Beaubien,45.53550591,-73.6038816,,
6133,Terrasse Mercure / Fullum,45.53569003,-73.56592298,,
6161,Cartier / St-Joseph,45.53576,-73.57867,,
6385,de Bordeaux /Gilford,45.53611005,-73.57628703,,
6321,Gary Carter / St-Laurent,45.53615281,-73.62242103,,
6257,de St-Vallier / St-Zotique,45.53626118,-73.6075455,,
6151,Parthenais / Mont-Royal,45.53636889,-73.57141681,,
5005,St-Charles / St-Sylvestre,45.53637796,-73.51264223,,
6130,Sherbrooke / Frontenac,45.5367,-73.56081,,
6250,Marche Jean-Talon (Henri-Julien / Jean-Talon),45.53678525,-73.61488796,,
6249,Belanger / St-Denis,45.53696,-73.61199,,
6258,Parc Père-Marquette (Chambord / Rosemont),45.53702583,-73.59316617,,
6167,Marquette / St-Gregoire,45.53703,-73.58584,,
6910,Boyer / Beaubien,45.537041,-73.602026,,
7027,Terrasse Guindon / Fullum,45.53711414,-73.56913894,,
6150,Messier / du Mont-Royal,45.53711414,-73.5710031,,
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648,,
